es.applicant_mailer.invitation_reminder_email.greeting	Hello,
es.applicant_mailer.invitation_reminder_email.button_caption	
es.applicant_mailer.invitation_reminder_email.button	
es.applicant_mailer.invitation_reminder_email.footer	This is an automatically generated message from %{agency_acronym}. Please don't reply to this email.
es.applicant_mailer.invitation_reminder_email.subject.default	Reminder: Verify your income to renew your SNAP benefits
es.applicant_mailer.invitation_reminder_email.subject.ma	Reminder: Verify your income to renew your SNAP benefits
es.applicant_mailer.invitation_reminder_email.subject.nyc	Reminder: Verify your income to renew or apply for your SNAP benefits
es.applicant_mailer.invitation_reminder_email.pilot_name	SNAP Income Pilot
es.applicant_mailer.invitation_reminder_email.agency_acronym.default	DTA
es.applicant_mailer.invitation_reminder_email.agency_acronym.ma	DTA
es.applicant_mailer.invitation_reminder_email.agency_acronym.nyc	NYC
es.applicant_mailer.invitation_reminder_email.agency_name.default	Department of Transitional Assistance
es.applicant_mailer.invitation_reminder_email.agency_name.ma	Department of Transitional Assistance
es.applicant_mailer.invitation_reminder_email.agency_name.nyc	Human Resources Administration Department of Social Services
es.applicant_mailer.invitation_reminder_email.main_action.default	Verify your income as part of your SNAP recertification by
es.applicant_mailer.invitation_reminder_email.main_action.ma	Verify your income as part of your SNAP recertification by
es.applicant_mailer.invitation_reminder_email.main_action.nyc	Verify your income as part of your SNAP application or recertification by
es.applicant_mailer.invitation_reminder_email.verify_income_button	Verify your income
es.applicant_mailer.invitation_reminder_email.instructions	Log into your payroll provider account (for example, ADP, Lyft or Amazon Flex) to share your income data directly with %{agency_acronym}. If you miss the deadline, this link will expire and you'll need to request for a new invite.
es.applicant_mailer.invitation_reminder_email.feedback_header	Do you have any comments about the SNAP pilot?
es.applicant_mailer.invitation_reminder_email.feedback_button	Share your feedback